	Score	Sent1	Sent2
3297	3.75	Potrivit unui comunicat de presa trimis de Fundatia Terry Schindler-Schiavo, vorbitorul din Florida, Johnnie Byrd, va prezenta „Terri’s Bill” in cadrul sesiunii speciale de luni.	Presedintele Camerei din Florida, Johnnie Byrd, este asteptat sa introduca „Terri’s Bill” in timpul unei sesiuni speciale de o zi a legislaturii de stat care se desfasoara astazi la Tallahassee.
3298	3.75	De asemenea, companiile din Utah se ofera voluntare pentru a afisa alerte Amber pe panourile lor.	Alte companii se ofera voluntar pentru a pune alertele pe afisele lor electronice si pe panourile publicitare.
3299	4.25	Multumita cresterii euro fata de moneda japoneza, dolarul era la 117,24 yeni, cu mult peste minimul de peste 10 luni de 116 yeni.	Cresterea monedei euro fata de yen si speculatiile privind interventia japoneza au ajutat firma dolarului sa ajunga la 117,25 yeni, cu mult peste valoarea minima de 10 luni de 116 yeni lovita joi.
3300	4.0	Actiunile rusesti au scazut dupa arestarea de sambata trecuta a lui Mihail Khodorkovsky, director executiv al Yukos Oil, sub acuzatia de frauda si evaziune fiscala.	Arestarea la sfarsit de saptamana a celui mai bogat om din Rusia, Mihail Khodorkovsky, director executiv al principalului companii petroliere YUKOS, sub acuzatia de frauda si evaziune fiscala, a deranjat pietele financiare.
3301	0.75	Pentru anul acesta, se asteapta la vanzari de 94 de milioane de dolari si un profit de 26 de centi pe actiune din operatiuni continue.	Aceasta este o crestere fata de prognoza anterioara de 22,5 milioane de dolari si 5 centi pe actiune.
3302	3.4	Dupa ce Hughes a refuzat sa-l angajeze din nou pe Hernandez, el s-a plans la Comisia pentru sanse egale de angajare.	Hernandez a depus o plangere la Comisia pentru oportunitati egale de angajare si a dat in judecata.
3303	2.6	Propunerea lui Dewhurst solicita incetarea brusca a controversatului plan „Robin Hood” pentru finantarea scolii.	Comitetul ar propune inlocuirea sistemului de finantare scolara „Robin Hood”.
3304	3.4	Altor tari si unor creditori privati le sunt datorate cel putin 80 de miliarde de dolari in plus.	Altor tari le sunt datorate cel putin 80 miliarde USD (108,52 miliarde USD).
3305	3.6	Telemarketerii care apeleaza numerele de pe lista dupa 1 octombrie s-ar putea confrunta cu amenzi de pana la 11.000 USD pe apel.	Conform legii, telemarketerii care apeleaza numerele de pe lista pot fi amendati cu pana la 11.000 USD pentru fiecare incalcare.
3306	5.0	El a explicat ca l-a intalnit pe Antetonitrus cand a venit la Wits in 2001 ca asistent de cercetare post-doctoral la Universitatea din Bristol, Anglia.	El a explicat ca l-a intalnit pe Antetronitrus cand a venit la Wits in 2001 in timp ce era asistent de cercetare post-doctoral la Universitatea Bristol din Marea Britanie.
3307	4.25	Air Canada, cea mai mare companie aeriana din Canada si numarul 11 ​​din lume, se afla sub protectia instantelor fata de creditori de la 1 aprilie.	Compania aeriana nr. 11 din lume, Air Canada se afla sub protectia instantelor impotriva creditorilor de la 1 aprilie.
3308	4.25	De asemenea, juriul l-a gasit pe Gonzales vinovat ca a folosit forta excesiva, dand cu spray de piper spre Olvera-Carrera.	Gonzales a fost gasit vinovat ca a folosit o forta excesiva prin pulverizarea lui Olvera cu spray de piper.
3309	3.25	Cadavrele unora dintre morti, scoase de sub tren, au fost asezate langa sine in timp ce serviciile de urgenta aduceau sicrie din lemn.	Cadavrele multor morti, trase de sub trenul partial deraiat, au fost asezate de sine in asteptarea identificarii.
3310	4.25	Garner a declarat ca autoproclamatul primar al Bagdadului, Mohammed Mohsen al-Zubaidi, a fost eliberat in custodia coalitiei dupa doua zile .	Garner a declarat ca autoproclamatul primar din Bagdad, Mohammed Mohsen Zubaidi, a fost eliberat la la sfarsitul lunii aprilie dupa 48 de ore de detentie.
3311	3.75	„Directorii companiei Enron s-au angajat in fraude extinse si raspandite”, a declarat procurorul Samuel Buell pentru Associated Press.	Directorii companiei Enron s-au angajat in fraude extinse si raspandite pentru a manipula rezultatele castigurilor companiei, a spus Buell.
3312	4.333	Clientii care platesc taxa de intrare de 1.219 USD primesc SMS 2003 cu 10 licente de acces pentru dispozitive client.	Pretul de vanzare cu amanuntul pentru SMS 2003 cu 10 licente de acces pe dispozitive client este de 1.219 USD.
3313	3.909	Rezultatele sondajului popoarelor indigene din 2001, publicat ieri de Statistics Canada, sugereaza ca nivelul de trai s-a imbunatatit, dar este inca mai scazut pentru cei din afara rezervatiilor.	Sondajul din 2001 asupra popoarelor aborigene, publicat miercuri de Statistics Canada, afirma ca nivelul de trai s-a imbunatatit, dar ramane mai scazut pentru inuiti si pentru cei care isi parasesc rezervatiile adesea sarace.
3314	3.933	Recenta schimbare pe piata bursiera si o reducere a cererilor de somaj ar trebui sa mentina asteptarile consumatorilor la nivelurile actuale si ar putea semnala perioade economice mai favorabile	Recenta schimbare de pe piata bursiera si o diminuare a cererilor de somaj „ar putea semnala o perioada economica mai favorabila”, a spus ea.
3315	3.75	Daca tranzactionarea zilei nu a iesit cu nimic in evidenta, indicele Standard & Poor's 500 se pregatea sa inchida cea mai buna perioada de trei luni de la al patrulea trimestru al anului 1998.	Indicele bursier Standard & Poor's 500 a incheiat trimestrul in crestere cu 120 de puncte, cu o crestere de 14%, cea mai buna performanta pentru acea referinta de piata larga din 1998.
3316	4.25	ONA a declarat in mod explicit ca nu a primit informatii care sa indice ca reteaua terorista Jemaah Islamiyah intentioneaza sa organizeze o operatiune in Bali.	Dar in niciun moment ONA nu a primit informatii care sa indice ca Jemaah Islamiyah planuia sa organizeze o operatiune in Bali.
3317	4.25	Aceste rapoarte au fost respinse de ministrul de interne, printul Nayef.	Cu toate acestea, ministrul saudit de interne, printul Nayef, a negat rapoartele.
3318	3.5	Bryant a spus anterior ca drumetia a avut un impact mai mare asupra cererii decat se asteptau oficialii.	Directorul financiar Andy Bryant a declarat ca acea crestere a pretului a afectat mai mult decat se asteptau oficialii.
3319	3.25	Judecatorul Leroy Millette Jr. poate reduce pedeapsa cu inchisoarea pe viata fara eliberare conditionata atunci cand Muhammad va fi condamnat formal pe 12 februarie, dar judecatorii din Virginia iau rareori astfel de masuri.	Desi judecatorul poate reduce pedeapsa la inchisoare pe viata fara eliberare conditionata, expertii spun ca judecatorii din Virginia rareori profita de aceasta ocazie.
3320	3.0	O purtatoare de cuvant de la Strong Memorial Hospital a declarat ca Doud se afla intr-o stare satisfacatoare marti seara.	Un purtator de cuvant al Spitalului Strong Memorial a declarat ca Doud era in evaluare marti seara in camera de urgenta.
3321	3.8	Ray Brent Marsh, in varsta de 29 de ani, se confrunta cu mai multe acuzatii de frauda in serviciul de pompe funebre, facand declaratii false, abuzuri asupra unui cadavru si furt.	Ray Brent Marsh, in varsta de 29 de ani, se confrunta, de asemenea, cu acuzatii de abuz asupra unui cadavru si furt.
3322	3.4	Dupa aceea, presedintele colegiului, Paul Pribbenow i-a spus sa-si incheie discursul.	Dupa ce microfonul lui Hedges a fost deconectat pentru a doua oara, Pribbenow ia spus sa-si incheie discursul.
3323	3.857	Pentru perioada de 12 luni care se incheie pe 30 iunie, conexiunile de mare viteza instalate in case si companii au crescut cu 45%.	Pentru perioada anului care se incheie la 30 iunie 2003, conexiunile de mare viteza au crescut cu 45%.
3324	4.0	Scurta si tulburata cariera de baschet din Missouri a lui Ricky Clemons s-a incheiat.	Missouri l-a dat afara pe Ricky Clemons, incheindu-i cariera tulburata acolo.
3325	3.4	Oficialii militari americani spun ca suflul de aer creat de elicopter ar fi putut da jos bannerul.	Oficialii americani au declarat ca suflul de aer generat de elicopterul stationar a dat jos steagul din turn.
3326	3.0	Acordul care intra in vigoare in aceasta saptamana a fost incheiat la mai putin de doua luni dupa ce O'Malley a preluat conducerea celei de-a patra arhiepiscopii a natiunii.	Acordul de 85 de milioane de dolari a fost incheiat in septembrie, la mai putin de doua luni dupa ce arhiepiscopul Sean O'Malley a preluat functia de lider al celei de-a patra eparhii a natiunii.
3327	3.2	Capitoliul din SUA a fost evacuat ieri dupa ce autoritatile au detectat un material posibil periculos in subsolul aripii Senatului, a spus politia Capitoliului.	Politia Capitoliului SUA a evacuat Capitoliul ieri dupa ce un senzor a detectat un posibil pericol biologic in aripa Senatului, dar autoritatile au declarat ulterior ca este o alarma falsa.
3328	3.6	Fostul presedinte a sustinut, de asemenea, numeroase discursuri in 2002, fara a fi platit, a declarat purtatorul de cuvant al acestuia, Jim Kennedy.	Purtatorul de cuvant al acestuia, Jim Kennedy, a declarat ca fostul presedinte a sustinut, de asemenea, peste 70 de discursuri in 2002, fara plata.
3329	1.6	Indicele larg Standard & Poor's 500. SPX a scazut cu 0,04 puncte, sau 0 la suta, la 971,52.	Cei 500 de indici bursieri privitori la intelegerile economice date de Standard & Poor pentru luna iunie au scazut cu 2,60 puncte la 965,70, in timp ce intelegerile economice ale lui Nasdaq au scazut cu 7,50 puncte la 1.183,50.
3330	3.8	Supranumit Project Mad Hatter, desktopul bazat pe Linux este promovat de Sun ca o alternativa mai sigura si mai putin costisitoare la Windows.	Proiectat pentru a concura cu Microsoft Corp., Project Mad Hatter este pozitionat de Sun ca un sistem de operare alternativ mai ieftin si mai sigur pentru diversele oferte de desktop ale Microsoft.
3331	2.0	O figura cheie din schema de coruptie a fostului trezorier de stat Paul Silvester a fost acuzata miercuri ca si-a schimbat povestea despre presupusele relatii corupte ale lui Silvester cu o firma de investitii din Boston.	Un jucator cheie in schema de coruptie a fostului trezorier de stat Paul Silvester a marturisit marti despre mitele pe care Silvester le tranzactiona pentru afaceri de stat.
3332	3.6	„Misiunea sistemului CAPPS II a fost si va fi intotdeauna securitatea aviatiei”, a spus administratia, care face parte din Departamentul de Securitate Interna.	„Misiunea sistemului CAPPS II a fost si va fi intotdeauna securitatea aviatiei”, au spus ei.
3333	4.5	Hovan nu a vorbit, dar avocatul sau, John Speranza, a spus ca clientul sau „nu s-a trezit in acea zi” intentionand sa raneasca pe cineva.	Hovan „nu s-a trezit in acea zi” intentionand sa raneasca pe cineva, a declarat avocatul apararii John Speranza.
3334	4.0	„Credem ca nu este necesar sa avem o lupta divizorie de confirmare pentru o numire la Curtea Suprema”, a scris Daschle.	Credem ca nu este necesar sa avem o lupta de confirmare divizorie, a scris presedintele republican Daschle din Dakota de Sud.
3335	3.0	Yahoo reprezinta 159.354 dintre site-urile BSD, cu 152.054 de la NTT / Verio si 129.378 de la Infospace, a constatat sondajul.	Alte 152.054 provin de la compania de servicii IP NTT / Verio si 129.378 de la InfoSpace, a constatat sondajul.
3336	3.769	In cea mai recenta redare la CNN, Teya Ryan renunta la postul de director general al programelor americane, a anuntat reteaua.	In cea mai recenta miscare a CNN de a revigora ratingurile, reteaua l-a destituit pe Teya Ryan, directorul general al programelor SUA.
3337	3.4	El este suspectat ca este o figura cheie in Jemaah Islamiyah, grupul terorist legat de Al-Qaeda, care a fost invinuit pentru atentate.	Samudra, in varsta de 32 de ani, este suspectat ca este o figura cheie in grupul terorist Jemaah Islamiyah, legat de al-Qaida, care a fost invinuit pentru bombardamente.
3338	1.8	Aproximativ 100 de pompieri se afla astazi in padure, a declarat seful pompierilor din Albuquerque, Robert Ortega.	Eram la cateva secunde distanta de a se intampla acest lucru, a spus seful pompierilor din Albuquerque, Robert Ortega.
3339	3.0	Problema a fost rezolvata, a declarat presedintele Marlins, David Samson, prin intermediul unui purtator de cuvant al clubului.	Marlinii au spus doar: „Problema a fost rezolvata”.
3340	3.0	Ministerul Sanatatii din China a declarat ca alte cinci persoane au murit de Sars si alte 159 au fost infectate.	Luni, China a declarat ca alte noua persoane au murit din cauza SARS si ca inca 160 au fost infectate cu virusul.
3341	4.25	Actiunile McDonald's au crescut cu 1,83 dolari, sau 8,3 la suta, pentru a se inchide la maximul zilei, de 23,89 dolari.	Actiunile McDonald's au crescut cu 1,83 dolari pentru a inchide vineri la 23,89 dolari la bursa din New York.
3342	4.0	El a spus ca FDA spera ca Congresul si instantele vor aduce claritate situatiei si o anumita usurare a poverii financiare pentru consumatori.	El a spus ca FDA spera ca Congresul si instantele vor aduce claritate situatiei si o anumita usurare a poverii financiare pentru consumatori - poate inainte de alegerile din 2004.
3343	4.0	Ernst & Young nu au recunoscut nicio actiune gresita in ceea ce priveste acordul.	Purtatorul de cuvant al Ernst & Young, Kenneth Kerrigan, a declarat ca firma nu admite nicio actiune gresita.
3344	3.625	Martorul, un insotitor de parcare kosovar in varsta de 27 de ani, condamnat penal pentru inselaciune, a fost platit 10.000 de News of the World.	Martorul a fost un insotitor de parcare kosovar in varsta de 27 de ani, care a fost platit de News of the World, potrivit instantei.
3345	3.5	Diferentele dintre Grassley si Thomas in ceea ce priveste energia si Medicare au devenit atat de evidente, incat alti membri spun ca relatia lor personala furioasa jeneaza partidul.	Diferentele lor in ceea ce priveste energia si Medicare au devenit atat de accentuate, incat alti membri spun ca este jenant pentru partid.
3346	3.2	El a ranit un paznic si apoi a fugit, injunghind doi trecatori in timp ce fugea de-a lungul promenadei.	Apoi a injunghiat doi trecatori in timp ce fugea de-a lungul unei promenade de langa Marea Mediterana.
3347	3.4	El si colegii sai au atribuit o parte a decalajului de comunicare medicilor care se simt presati de timp.	El a pus o parte din lipsa de comunicare pe seama medicilor care se simt presati de timp; pacientii au citat disconfort discutand probleme financiare.
3348	4.0	Politia de stat a declarat ca pana la 30 de muncitori au fost prinse in interior imediat dupa prabusirea garajului.	Pana la 30 de persoane se credea ca au fost prinse in interior initial, a spus politia de stat.
3349	4.8	LOS ANGELES - „The Hulk” a fost un monstru la box-office in weekendul sau de debut, obtinand un record pentru iunie de 62,6 milioane de dolari.	„The Hulk” a incasat 62,6 milioane de dolari la box-office, o deschidere monstru si un nou record pentru iunie.
3350	2.4	Felicitari pentru ca ati fost numita Persoana anului in revista Time.	Revista Time a numit soldatul american Persoana anului pentru 2003.
3351	3.2	Actul de acuzare a declarat ca a participat la intalniri importante pentru a planifica atacurile, a recrutat colegi atacatori si a coordonat operatiunea.	Samudra nu era prezent la Bangkok, potrivit acuzarii, dar a participat la o serie de intalniri inainte de atacuri, recrutand colegi atacatori si coordonand operatiunea.
3352	4.2	De asemenea, va oferi lui Microsoft posibilitatea de a comenta cu privire la ameliorarile propuse de Comisie.	Printre altele, Microsoft trebuie sa comenteze ameliorarile propuse in raspunsul sau.
3353	5.0	Texanii impovarati cu primele exorbitante pentru proprietarii de case ar putea da de liniste in cele din urma.	Se observa o ameliorare pentru texani, care sunt impovarati cu primele exorbitante pentru proprietarii de case.
3354	3.4	Sase democrati se lupta pentru a-l succeda pe Jacques si s-au calificat pentru primul scrutin din 3 februarie.	Sase democrati si doi republicani candideaza pentru locul ei si s-au calificat la scrutinul primar din 3 februarie.
3355	4.0	Halliburton a reiterat marti sustinerea ca KBR a „livrat combustibil Irakului la cea mai buna calitate, cel mai bun pret si cele mai bune conditii”.	Credem ca KBR a livrat combustibil in Irak la cea mai buna calitate, la cel mai bun pret si in cele mai bune conditii, a spus purtatorul de cuvant al Halliburton, Wendy Hall.
3356	3.333	Elecia Battle, din Cleveland, a declarat politistilor ca si-a scapat poseta cand a parasit Quick Shop Food Mart saptamana trecuta dupa ce a cumparat biletul.	Elecia Battle si-a scapat poseta dupa ce a cumparat biletul Mega Millions Lottery saptamana trecuta si crede ca biletul a fost luat de vant.
3357	3.2	Printre clienti se numara Mitsubishi, Siemens, DBTel, Dell, HP, Palm, Philips, Sharp si Sony.	Printre clientii MediaQ se numara principalii producatori de dispozitive portabile Mitsubishi, Siemens, Palm, Sharp, Philips, Dell si Sony.
3358	4.0	Cleveland Cavaliers a castigat dreptul de a-l recruta pe James castigand joi seara loteria anuala a NBA.	Asa a fost cazul si joi seara cand Cleveland Cavaliers a castigat „LeBron James Lottery”, cunoscuta si sub denumirea de loteria de recrutare NBA.
3359	3.8	Cercetatorii au descoperit ca muncitorii scunzi au auzul mai prost decat estimarile pentru varsta lor.	„Muncitorii scunzi aud mai prost decat se astepta pentru varsta lor - de trei ori mai frecvent decat muncitorii mai inalti”, scrie Barrenas.
3360	2.2	Domnul Colpin nu a specificat daca acest sistem se afla in centrul anchetei.	Nici OLAF, nici procurorii belgieni nu au precizat daca acest sistem a fost in centrul anchetei.
3361	3.75	Pana acum, vanzarile de PC-uri orientate spre divertisment au fost limitate la Statele Unite, Canada si Coreea.	Computerele sunt vandute in prezent in Canada, Statele Unite si Coreea.
3362	3.0	Ballmer a fost in trecut avertizat ca Linux este o amenintare pentru Microsoft.	In memo, Ballmer a reiterat amenintarea open-source pentru Microsoft.
3363	1.25	Indicele larg de 500 de actiuni Standard & Poor's a crescut cu 4,83 puncte sau 0,49% pana la 980,76.	Cei 500 de indici bursieri privitori la intelegerile economice date de Standard & Poor pentru luna iunie au scazut cu 4,40 puncte la 983,50, in timp ce intelegerile economice ale lui Nasdaq au scazut cu 6,5 puncte la 1.206,50.
3364	3.25	Talabani i-a spus ca Consiliul de guvernare va „avea nevoie de asistenta si consiliere ONU in implementarea noilor decizii care au fost luate”.	Talabani i-a spus ca liderii irakieni vor „avea nevoie de asistenta si sfaturi ale ONU in implementarea noilor decizii care au fost luate” privind organizarea unui guvern interimar irakian pana in iunie.
3365	3.333	Stanford (46-15) joaca astazi cu Carolina de Sud (44-20) intr-un joc din prima runda pe stadionul Rosenblatt din Omaha, Neb.	Stanford (46-15) joaca cu Carolina de Sud (44-20) vineri in jocul de deschidere al turneului cu dubla eliminare.
3366	2.0	Acelasi sondaj facut cu o luna in urma l-a dat pe Street inaintea lui Katz cu 42 la 34 la suta, si 21 la suta indecisi.	In urma cu o luna, in acelasi sondaj, Katz conducea 46 - 40%.
3367	3.0	Indicele larg Standard & Poor's 500 <.SPX> a avansat cu 11 puncte, sau 1,25 la suta, la 931.	Indicele Standard & Poor's 500 a castigat 10,89, sau 1,2%, pana la 931,12 incepand cu 12:01 p.m. in New York.
3368	3.667	Dar nu isi dau seama de asta pana nu este prea tarziu (bineinteles), deoarece sunt potentiale victime intr-un film de groaza.	Dar nu isi dau seama de asta pana nu este prea tarziu (bineinteles) pentru ca sunt potentiale victime.
3369	3.667	Arthur Benson, avocat al scolilor reclamantilor din caz, a declarat ca va face apel.	Un avocat pentru scolarii reclamanti a spus ca intentioneaza sa faca apel.
3370	4.333	Euro a scazut cu aproape patru procente de cand a atins varful record de aproximativ 1,1935 dolari saptamana trecuta si a atins un maxim istoric de 140,90 yeni la sfarsitul lunii mai.	Euro a scazut patru centi de cand a atins un varf de record de aproape 1,1935 dolari saptamana trecuta si a atins un record de 140,90 yeni la sfarsitul lunii mai.
3371	1.333	Pennsylvania, care are cel mai agresiv program de tratament, trateaza 548 din 8.030 detinuti.	Texas, care are de peste trei ori populatia detinutilor din Michigan, trateaza 328 din cei 16.298 de detinuti infectati.
3372	2.2	Compozitul Nasdaq bazat pe tehnologie a crescut cu 20,96 puncte pana la 1595,91 pentru a se incheia la cel mai inalt nivel timp de 12 luni.	Indicele compozit Nasdaq <.IXIC>, bazat pe tehnologie, a urcat cu 19,11 puncte, sau 1,2%, pana la 1.615,02.
3373	4.4	Cu functia Expose, toate ferestrele deschise se micsoreaza pentru a se incadra pe ecran, dar sunt inca suficient de clare pentru a le identifica.	Cu functia Expose (ex-poh-SAY), toate ferestrele deschise de pe desktop se micsoreaza imediat pentru a se incadra pe ecran, dar sunt inca suficient de clare pentru identificare.
3374	3.4	In schimb, procurorii au respins acuzatiile, iar Rucker a parasit sala de judecata un om liber.	In schimb, a parasit sala de judecata un om liber dupa ce autoritatile au respins acuzatiile penale.
3375	4.2	„Acest caz a fost atat provocator din punct de vedere mental, cat si epuizant din punct de vedere emotional”, a spus presedintele juriului, Jim Wolfcale, un preot in varsta de 41 de ani.	Jim Wolfcale, presedintele juriului si preot, a spus: „Acest caz a fost atat provocator psihic, cat si epuizant din punct de vedere emotional”.
3376	3.0	El ajunge la sfarsitul acestei saptamani la prima vizita de stat a unui presedinte american.	Domnul Bush ajunge marti la prima vizita de stat a unui presedinte american.
3377	3.4	Acordul, aprobat de consiliul de administratie al ambelor companii, este de asteptat sa fie finalizat in a treia parte a celui de-al treilea trimestru fiscal al Nvidia.	Achizitia a fost aprobata de consiliul de administratie al ambelor companii si se asteapta sa se inchida in al treilea trimestru al acestui an.
3378	2.75	Mixul volatil ar putea prelungi sesiunea dincolo de cele patru zile alocate de Bush, a declarat presedintele Senatului, Jim King.	Senatul ar putea sprijini limitarea daunelor neeconomice dincolo de 250.000 de dolari propusa de guvernatorul Jeb Bush, a declarat presedintele Senatului, Jim King.
3379	4.0	Peste 100 de ofiteri de politie au fost implicati in raziile care au fost punctul culminant al unei operatiuni de doi ani care investiga banda importatoare de cocaina si spalarea banilor.	Peste 100 de ofiteri au lansat raidurile de la Londra in faza finala a unei operatiuni de doi ani care investigheaza un grup infractional de cocaina si spalare de bani.
3380	1.0	Eliminand elementele extraordinare, castigurile din trimestrul IV au fost de 64 de centi pe actiune, comparativ cu 25 de centi pe actiune in anul precedent.	Castigurile au fost de 59 de centi pe actiune pentru cele trei luni incheiate pe 25 mai, comparativ cu 15 centi pe actiune cu un an in urma.
3381	4.25	Dar la 15 ani, ajunsese la 260 de livre si o decizie dificila: era timpul sa incerc o interventie chirurgicala.	Insa, la varsta de 15 ani, ea cantarea 117 kg si a ajuns la o decizie dificila: era timpul sa incerce operatia.
3382	3.5	Daca am putea face asta in intreaga lume, am putea pune capat terorismului, a spus el.	"Acesta este un spital care trateaza pe toata lumea ca pe oameni si, daca am putea face asta in intreaga lume, am putea pune capat terorismului ""."
3383	3.067	Daca este o prezentare Comdex a lui Bill Gates, inseamna ca e timpul pentru noile tablete PC.	Daca este duminica seara inainte de Comdex, trebuie sa fie timpul pentru inca o prezentare a lui Bill Gates.
3384	3.25	Potrivit rapoartelor, Knight ar fi lovit cu pumnul un angajat al parcarii in fata unui club de noapte din Los Angeles.	El a fost arestat saptamana trecuta pentru ca l-ar fi lovit cu pumnul pe un angajat al parcarii in fata unui club de noapte din Los Angeles.
3385	3.75	Printre cei care asteptau un rand a fost Jodie Singer, o eleva din clasa a sasea din Washington, D.C.	Jodie Singer, o eleva din clasa a sasea din Washington, D.C., si-a asteptat cu nerabdare randul la microfon.
3386	2.25	Dar societatea pentru cancer a declarat ca studiul sau a fost folosit in mod gresit.	Societatea Americana a Cancerului si mai multi oameni de stiinta au spus ca studiul este eronat in mai multe moduri.
3387	2.5	Ambii sunt retinuti in inchisoarea comitatului Armstrong.	Tatarul a fost detinut fara cautiune in inchisoarea comitatului Armstrong.
3388	3.75	Cativa kilometri mai la est se afla Tehuacan, unde s-ar putea ca porumbul sa fi fost domesticit pentru prima data acum 4000 de ani.	La cativa kilometri vest se afla piramidele din Teotihuacan, unde s-ar putea ca porumbul sa fi fost domesticit pentru prima data acum 4000 de ani.
3389	3.25	Confuzia a incheiat o saptamana tumultuoasa pentru lista, care este destinata blocarii a aproximativ 80% din apelurile de telemarketing.	Serviciul gratuit a fost initial destinat blocarii a aproximativ 80% din apelurile de telemarketer.
3390	4.0	Dorinta noastra este sa realizam o restructurare financiara in afara instantei si ramanem optimisti ca o putem face, a spus Marce Fuller, director executiv.	Dorinta noastra este sa realizam o restructurare financiara in afara instantei, a declarat CEO-ul Mirant, Marce Fuller, intr-o declaratie pregatita vineri dimineata.
3391	3.444	Numiti in plangere erau fostii directori executivi Paul A. Allaire si G. Richard Thoman si fostul director financiar Barry D. Romeril.	Directorii executivi amendati au fost fostii directori executivi sefi Paul A. Allaire si G. Richard Thoman, precum si fostul director financiar Barry Romeril.
3392	4.6	Chera Larkins, in varsta de 32 de ani, din Manhattan, acuzata de trei casatorii simulate, este, de asemenea, acuzata de marturie mincinoasa si depunere a unei instrumentatii false.	Chera Larkins, in varsta de 32 de ani, din Manhattan, a fost acuzata de marturie mincinoasa si depunere a unei instrumentatii false in trei cereri de casatorie.
3393	2.8	S-a estimat joi ca are o cota de piata de 51% in Europa.	Boston Scientific a declarat ca a castigat 51% din piata stenturilor captusite din Europa.
3394	4.8	Comitetul bancar al Senatului este programat sa organizeze o sedinta marti, unde Donaldson este programat sa depuna marturie cu privire la fondurile speculative si mutuale.	Comitetul bancar al Senatului este programat sa organizeze o audiere marti, cand Donaldson va fi chestionat cu privire la speculatii si fonduri mutuale.
3395	0.6	Indicele compozit Nasdaq .IXIC, preponderent tehnologic, a scazut cu 0,11 la suta, sau 1,78 puncte, la 1,594,13.	Indicele larg Standard & Poor's 500. SPX a scazut cu 0,04 puncte, sau 0 la suta, la 971,52.
3396	2.75	Domnul Morse este acuzat de agresiune, iar domnul Darvish este acuzat de completarea unui raport fals.	Partenerul sau Bijan Darvish este acuzat ca a completat un raport fals.
3397	3.25	A treia numire a fost pentru un nou loc de munca, vicepresedinte executiv si ofiter sef.	Bruce N. Hawthorne, in varsta de 53 de ani, a fost numit vicepresedinte executiv si ofiter principal.
3398	1.5	Analistii se asteptau la o pierdere neta de 54 de centi pe actiune, potrivit Thomson First Call.	Analistii au prognozat vanzari in al doilea trimestru de 614 milioane de dolari, potrivit site-ului web Thomson First Call.
3399	3.0	De asemenea, districtul a trimis ieri scrisori prin care ii informa pe parinti despre situatie.	Parintii au primit ieri scrisori prin care ii informau despre posibila contaminare.
3400	3.8	Richard Grasso a renuntat la functia de presedinte saptamana trecuta, dupa ce a pierdut sprijinul consiliului sau de administratie pe fondul furorii publice fata de pachetul sau salarial de 140 de milioane de dolari.	Grasso a renuntat saptamana trecuta ca urmare a unei furtuni de critici asupra pachetului sau de compensatii salariale de 140 de milioane de dolari.
3401	4.308	Noile servere vor rula fie Linux, fie versiunea x86 a Solaris, a spus el.	Serverele pot rula sistemul de operare Solaris x86 sau sistemul de operare Linux standard.
3402	3.4	Alunecand pe gheata, Moriarty si Carella au lovit albia spongioasa si stancoasa a raului si au simtit imediat curentul.	Alunecand pe terasament, cei doi salvatori au lovit albia spongioasa si stancoasa a raului si au simtit imediat curentul.
3403	3.2	Cadbury Schweppes intentioneaza sa reduca 5500 de locuri de munca si sa inchida fabricile dupa o achizitie de 4,9 miliarde de dolari (11,9 miliarde de dolari SUA) in ultimii trei ani costuri umflate.	Cadbury Schweppes a dezvaluit planuri de reducere a 5.500 de locuri de munca si a 20% din fabricile sale pe parcursul a patru ani, pentru a reduce costurile provocate de o achizitie.
3404	3.5	Domnul Sweeney a prezentat planurile pentru campanie intr-un discurs de aseara din Philadelphia din cadrul reuniunii anuale a Asociatiei Americane de Stiinte Politice.	Sweeney trebuia sa prezinte planurile campaniei intr-un discurs sambata seara la reuniunea anuala a Asociatiei Americane de Stiinte Politice.
3405	3.75	"Parea un incident izolat "", a declarat Ariel Dean din Washington D.C., care a obtinut o diploma in stiinte politice."	"Parea un incident izolat "", a declarat absolventul Ariel Dean din Washington, D.C."
3406	1.75	Juriul a acordat TVT circa 23 milioane dolari despagubiri compensatorii si aproximativ 108 milioane dolari daune punitive.	TVT Records a solicitat daune punitive de 360 ​​de milioane de dolari si daune compensatorii de 30 de milioane de dolari, au spus oficialii.
3407	1.25	TVT Records a solicitat daune punitive de 360 ​​de milioane de dolari si daune compensatorii de 30 de milioane de dolari, au spus oficialii.	Pagubele au inclus 24 milioane USD in daune compensatorii si 52 milioane USD in daune punitive pentru IDJ.
3408	3.4	Cei doi democrati din grupul de cinci membri FCC au tinut o conferinta de presa pentru a influenta opinia impotriva lui Powell.	Cei doi democrati din cei cinci membri ai FCC au tinut o conferinta de presa pentru a influenta opinia impotriva lui Powell si a celorlalti doi republicani ai grupului.
3409	1.2	Volumele unitare stabilesc, de asemenea, un record, deoarece notebook-urile au reprezentat mai mult de 40% din vanzari.	In mai 2002, LCD-urile reprezentau doar 22% din vanzarile de monitoare.
